id,age,edu,edu_num,male,use_int_s,pri_con_m_b,inf_sha_att_m_b,inf_sha_beh_m_b,tim_int_m,tim_int_wor_m,tim_int_wee_m,t1_pri_con_01,t1_pri_con_02,t1_pri_con_03,t1_pri_con_04,t1_pri_con_05,t1_pri_con_06,t1_pri_con_07,t1_pri_con_08,t1_pri_con_09,t1_inf_sha_beh_01,t1_inf_sha_beh_02,t1_inf_sha_beh_03,t1_inf_sha_beh_04,t1_inf_sha_beh_05,t1_inf_sha_beh_06,t1_inf_sha_beh_07,t1_inf_sha_beh_08,t1_inf_sha_beh_09,t1_inf_sha_beh_10,t1_inf_sha_beh_11,t1_inf_sha_att_01,t1_inf_sha_att_02,t1_inf_sha_att_03,t1_inf_sha_att_04,t1_inf_sha_att_05,t1_inf_sha_att_06,t1_inf_sha_att_07,t1_inf_sha_att_08,t1_inf_sha_att_09,t1_inf_sha_att_10,t1_inf_sha_att_11,t1_tim_int_01,t1_tim_int_02,t1_tim_int_03,t1_tim_int_04,t1_tim_int_05,t1_na_per,t1_na_per_inf_sha_beh,t1_tim_int_wor,t1_tim_int_wee,t1_use_int,t1_tim_int,t1_pri_con_m,t1_inf_sha_att_m,t1_inf_sha_beh_m,t2_pri_con_01,t2_pri_con_02,t2_pri_con_03,t2_pri_con_04,t2_pri_con_05,t2_pri_con_06,t2_pri_con_07,t2_pri_con_08,t2_pri_con_09,t2_inf_sha_beh_01,t2_inf_sha_beh_02,t2_inf_sha_beh_03,t2_inf_sha_beh_04,t2_inf_sha_beh_05,t2_inf_sha_beh_06,t2_inf_sha_beh_07,t2_inf_sha_beh_08,t2_inf_sha_beh_09,t2_inf_sha_beh_10,t2_inf_sha_beh_11,t2_inf_sha_att_01,t2_inf_sha_att_02,t2_inf_sha_att_03,t2_inf_sha_att_04,t2_inf_sha_att_05,t2_inf_sha_att_06,t2_inf_sha_att_07,t2_inf_sha_att_08,t2_inf_sha_att_09,t2_inf_sha_att_10,t2_inf_sha_att_11,t2_tim_int_01,t2_tim_int_02,t2_tim_int_03,t2_tim_int_04,t2_tim_int_05,t2_na_per,t2_na_per_inf_sha_beh,t2_tim_int_wor,t2_tim_int_wee,t2_use_int,t2_tim_int,t2_pri_con_m,t2_inf_sha_att_m,t2_inf_sha_beh_m,t3_pri_con_01,t3_pri_con_02,t3_pri_con_03,t3_pri_con_04,t3_pri_con_05,t3_pri_con_06,t3_pri_con_07,t3_pri_con_08,t3_pri_con_09,t3_inf_sha_beh_01,t3_inf_sha_beh_02,t3_inf_sha_beh_03,t3_inf_sha_beh_04,t3_inf_sha_beh_05,t3_inf_sha_beh_06,t3_inf_sha_beh_07,t3_inf_sha_beh_08,t3_inf_sha_beh_09,t3_inf_sha_beh_10,t3_inf_sha_beh_11,t3_inf_sha_att_01,t3_inf_sha_att_02,t3_inf_sha_att_03,t3_inf_sha_att_04,t3_inf_sha_att_05,t3_inf_sha_att_06,t3_inf_sha_att_07,t3_inf_sha_att_08,t3_inf_sha_att_09,t3_inf_sha_att_10,t3_inf_sha_att_11,t3_tim_int_01,t3_tim_int_02,t3_tim_int_03,t3_tim_int_04,t3_tim_int_05,t3_na_per,t3_na_per_inf_sha_beh,t3_tim_int_wor,t3_tim_int_wee,t3_use_int,t3_tim_int,t3_pri_con_m,t3_inf_sha_att_m,t3_inf_sha_beh_m,t4_pri_con_01,t4_pri_con_02,t4_pri_con_03,t4_pri_con_04,t4_pri_con_05,t4_pri_con_06,t4_pri_con_07,t4_pri_con_08,t4_pri_con_09,t4_inf_sha_beh_01,t4_inf_sha_beh_02,t4_inf_sha_beh_03,t4_inf_sha_beh_04,t4_inf_sha_beh_05,t4_inf_sha_beh_06,t4_inf_sha_beh_07,t4_inf_sha_beh_08,t4_inf_sha_beh_09,t4_inf_sha_beh_10,t4_inf_sha_beh_11,t4_inf_sha_att_01,t4_inf_sha_att_02,t4_inf_sha_att_03,t4_inf_sha_att_04,t4_inf_sha_att_05,t4_inf_sha_att_06,t4_inf_sha_att_07,t4_inf_sha_att_08,t4_inf_sha_att_09,t4_inf_sha_att_10,t4_inf_sha_att_11,t4_tim_int_01,t4_tim_int_02,t4_tim_int_03,t4_tim_int_04,t4_tim_int_05,t4_na_per,t4_na_per_inf_sha_beh,t4_tim_int_wor,t4_tim_int_wee,t4_use_int,t4_tim_int,t4_pri_con_m,t4_inf_sha_att_m,t4_inf_sha_beh_m,t5_pri_con_01,t5_pri_con_02,t5_pri_con_03,t5_pri_con_04,t5_pri_con_05,t5_pri_con_06,t5_pri_con_07,t5_pri_con_08,t5_pri_con_09,t5_inf_sha_beh_01,t5_inf_sha_beh_02,t5_inf_sha_beh_03,t5_inf_sha_beh_04,t5_inf_sha_beh_05,t5_inf_sha_beh_06,t5_inf_sha_beh_07,t5_inf_sha_beh_08,t5_inf_sha_beh_09,t5_inf_sha_beh_10,t5_inf_sha_beh_11,t5_inf_sha_att_01,t5_inf_sha_att_02,t5_inf_sha_att_03,t5_inf_sha_att_04,t5_inf_sha_att_05,t5_inf_sha_att_06,t5_inf_sha_att_07,t5_inf_sha_att_08,t5_inf_sha_att_09,t5_inf_sha_att_10,t5_inf_sha_att_11,t5_tim_int_01,t5_tim_int_02,t5_tim_int_03,t5_tim_int_04,t5_tim_int_05,t5_na_per,t5_na_per_inf_sha_beh,t5_tim_int_wor,t5_tim_int_wee,t5_use_int,t5_tim_int,t5_pri_con_m,t5_inf_sha_att_m,t5_inf_sha_beh_m
201330,54,Master/Diplom/Magister,7,2,5,2.6,1.6,1.6,467.14285714285717,540,210,2,3,4,5,4,4,3,4,4,3,2,3,3,3,3,3,3,1,1,3,4,2,4,4,4,4,4,4,2,2,4,8,0,NA,30,0,0.02631578947368421,0,480,NA,1,NA,3.6666666666666665,3.4545454545454546,2.5454545454545454,3,3,3,3,3,3,2,NA,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,NA,1,NA,NA,0.10526315789473684,0,NA,NA,1,NA,2.875,1,1,3,4,4,4,4,3,3,3,3,1,1,3,3,3,3,3,3,1,3,3,1,1,3,3,3,3,3,3,1,3,3,9,0,3,0,NA,0.02631578947368421,0,540,180,1,437.14285714285717,3.4444444444444446,2.4545454545454546,2.4545454545454546,2,3,5,5,5,4,4,4,4,1,1,3,3,3,3,3,3,2,3,3,1,1,3,2,2,2,4,2,2,3,3,10,0,4,0,NA,0.02631578947368421,0,600,240,1,497.14285714285717,4,2.272727272727273,2.5454545454545454,3,4,3,4,4,4,4,4,4,2,2,3,3,3,3,3,3,3,3,3,1,1,3,3,3,3,3,3,3,3,3,9,NA,2,NA,NA,0.07894736842105263,0,NA,NA,1,NA,3.7777777777777777,2.6363636363636362,2.8181818181818183
201345,51,Abitur,5,2,5,2.6,1,1,NaN,NaN,NaN,3,4,3,3,4,2,2,3,3,1,1,1,1,1,1,2,1,2,1,1,1,4,3,3,3,3,2,1,1,3,3,NA,15,NA,5,0,0.05263157894736842,0,NA,NA,1,NA,3,2.4545454545454546,1.1818181818181819,2,3,4,3,3,2,3,2,4,1,1,3,3,1,1,3,2,1,1,1,1,3,3,3,3,3,3,3,2,3,3,NA,45,NA,45,NA,0.07894736842105263,0,NA,NA,1,NA,2.888888888888889,2.727272727272727,1.6363636363636365,3,4,2,3,4,3,3,3,4,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,1,1,1,1,1,1,NA,1,NA,NA,0.07894736842105263,0,NA,NA,1,NA,3.2222222222222223,1.9090909090909092,1,2,4,4,4,4,3,3,3,4,1,1,2,2,2,2,2,2,1,1,1,1,4,3,3,3,3,3,3,1,1,3,1,NA,1,NA,NA,0.07894736842105263,0,NA,NA,1,NA,3.4444444444444446,2.5454545454545454,1.5454545454545454,3,3,3,3,4,NA,3,3,4,1,1,1,1,1,1,1,1,1,1,1,1,4,3,2,2,2,1,2,1,1,1,NA,30,NA,45,NA,0.39473684210526316,1,NA,NA,1,NA,3.25,1.8181818181818181,1
202925,48,Master/Diplom/Magister,7,2,5,3.6,2.4,2,NaN,NaN,NaN,3,4,4,4,3,3,3,4,4,1,1,2,2,2,2,2,2,1,1,1,3,3,4,4,3,2,4,3,1,1,1,2,NA,1,NA,0,0.05263157894736842,0,NA,NA,1,NA,3.5555555555555554,2.6363636363636362,1.5454545454545454,4,4,5,4,5,4,3,3,5,1,1,3,3,3,2,3,2,1,1,1,1,1,4,4,4,2,4,2,1,1,1,2,NA,1,NA,NA,0.07894736842105263,0,NA,NA,1,NA,4.111111111111111,2.272727272727273,1.9090909090909092,3,4,4,4,4,4,4,4,5,1,1,3,3,3,2,3,2,1,1,1,3,2,3,3,3,1,3,1,1,1,1,2,NA,2,NA,NA,0.07894736842105263,0,NA,NA,1,NA,4,2,1.9090909090909092,3,2,4,4,4,4,3,3,4,2,1,3,3,3,3,3,2,1,1,1,4,2,3,3,3,2,4,2,1,1,1,3,NA,2,NA,NA,0.07894736842105263,0,NA,NA,1,NA,3.4444444444444446,2.3636363636363638,2.090909090909091,5,5,5,5,5,4,3,3,4,5,5,3,3,3,3,3,3,5,5,5,1,1,1,1,1,1,1,1,1,1,1,6,NA,1,NA,NA,0.07894736842105263,0,NA,NA,1,NA,4.333333333333333,1,3.909090909090909
201767,45,Realschule,3,2,5,3,2,1.75,87.57142857142857,83,99,3,3,5,3,4,3,3,3,3,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,2,0,0,0,0,120,120,1,120,3.3333333333333335,1,1.4545454545454546,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,4,3,3,3,3,3,3,1,1,1,1,30,2,0,NA,0.02631578947368421,0,90,120,1,98.57142857142857,3,2.3636363636363638,1.7272727272727273,3,3,5,5,4,4,3,3,3,2,2,2,2,1,1,2,1,2,1,1,4,4,4,3,2,2,2,1,2,1,1,1,30,2,0,NA,0.02631578947368421,0,90,120,1,98.57142857142857,3.6666666666666665,2.3636363636363638,1.5454545454545454,3,5,5,4,5,4,4,4,3,2,1,3,3,2,2,3,1,1,1,1,1,1,3,3,3,2,3,1,2,1,1,1,15,1,30,NA,0.02631578947368421,0,75,90,1,79.28571428571429,4.111111111111111,1.9090909090909092,1.8181818181818181,3,3,3,3,3,3,3,3,3,NA,2,5,5,4,4,4,2,2,2,2,3,3,3,3,3,2,3,1,1,1,1,0,40,0,45,NA,0.05263157894736842,0.09090909090909091,40,45,1,41.42857142857143,3,2.1818181818181817,3.2
202379,44,No Degree,1,2,5,4.2,2,1.2,NaN,85,NaN,5,5,5,5,5,3,3,3,5,1,1,4,4,3,3,4,4,1,3,1,1,2,5,5,5,5,5,5,1,3,1,1,NA,1,NA,0,0.05263157894736842,0,NA,NA,1,NA,4.333333333333333,3.4545454545454546,2.6363636363636362,4,5,5,5,5,5,5,3,4,1,1,4,4,4,4,4,4,1,3,1,2,3,4,4,4,4,4,4,3,4,3,1,30,NA,NA,NA,0.07894736842105263,0,90,NA,1,NA,4.555555555555555,3.5454545454545454,2.8181818181818183,5,4,5,5,5,4,4,4,5,1,2,4,4,4,4,4,4,1,3,1,4,4,5,5,5,5,5,5,3,4,4,2,NA,NA,NA,NA,0.10526315789473684,0,NA,NA,1,NA,4.555555555555555,4.454545454545454,2.909090909090909,3,4,4,4,1,4,3,3,4,1,2,3,3,3,3,4,3,1,3,1,1,3,3,4,4,4,5,3,2,3,1,1,30,1,NA,NA,0.05263157894736842,0,90,NA,1,NA,3.3333333333333335,3,2.4545454545454546,4,3,3,3,1,4,2,3,4,2,2,3,3,3,3,3,3,2,3,2,2,3,3,4,4,4,5,4,2,3,3,1,15,NA,NA,NA,0.07894736842105263,0,75,NA,1,NA,3,3.3636363636363638,2.6363636363636362
201381,90,Realschule,3,1,5,2.8,1.6,1.2,115.71428571428572,120,100,2,2,3,2,3,3,2,3,3,2,2,3,3,3,3,3,3,2,2,2,1,3,4,4,4,4,4,4,3,3,2,2,NA,2,NA,0,0.05263157894736842,0,NA,NA,1,NA,2.5555555555555554,3.272727272727273,2.5454545454545454,3,4,4,4,5,4,4,4,4,1,2,3,3,3,3,3,3,2,2,2,1,1,3,3,3,3,3,3,2,2,2,2,30,1,30,NA,0.02631578947368421,0,150,90,1,132.85714285714286,4,2.3636363636363638,2.4545454545454546,3,4,3,4,4,3,3,NA,NA,1,2,2,2,2,2,2,2,1,2,2,1,2,3,3,3,3,4,4,2,2,1,1,30,2,0,NA,0.07894736842105263,0,90,120,1,98.57142857142857,3.4285714285714284,2.5454545454545454,1.8181818181818181,3,4,5,5,5,5,5,5,5,1,2,3,3,3,3,3,3,1,2,1,1,1,1,4,4,4,4,4,1,1,3,2,NA,1,30,NA,0.05263157894736842,0,NA,90,1,NA,4.666666666666667,2.5454545454545454,2.272727272727273,3,4,4,4,4,4,3,4,3,1,2,3,3,3,3,3,3,2,2,2,4,4,4,4,4,4,4,4,2,3,3,3,NA,2,NA,NA,0.13157894736842105,0,NA,NA,1,NA,3.6666666666666665,3.6363636363636362,2.4545454545454546
200952,86,Promotion,8,1,5,1.4,1,1,75,52.5,75,1,3,3,4,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,2,2,3,3,2,3,3,1,NA,1,NA,0,0.3421052631578947,1,NA,NA,1,NA,2,2.3636363636363638,1,1,2,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,1,2,3,3,1,NA,1,NA,NA,0.3684210526315789,1,NA,NA,1,NA,1.5555555555555556,2.5454545454545454,1,3,3,2,2,2,2,2,2,3,1,1,3,3,3,3,3,3,2,3,3,1,1,1,1,1,1,1,1,1,1,1,0,30,0,NA,NA,0.05263157894736842,0,30,NA,1,NA,2.3333333333333335,1,2.5454545454545454,1,4,1,1,1,1,2,1,2,1,1,3,3,3,3,3,3,2,3,3,1,2,NA,4,4,4,2,4,2,2,2,1,15,1,15,NA,0.05263157894736842,0,75,75,1,75,1.5555555555555556,2.7,2.5454545454545454,1,1,2,2,2,1,2,2,2,NA,2,3,3,3,3,3,3,3,3,3,1,2,4,3,3,3,3,3,3,3,4,1,NA,1,NA,NA,0.10526315789473684,0.09090909090909091,NA,NA,1,NA,1.6666666666666667,2.909090909090909,2.9
200168,86,Realschule,3,2,4,3,1,1.4,NaN,90,NaN,3,3,5,5,5,5,5,5,5,1,1,2,2,2,2,2,2,2,1,2,1,1,3,3,3,3,3,3,3,3,3,1,NA,1,NA,1,0.05263157894736842,0,NA,NA,0,NA,4.555555555555555,2.6363636363636362,1.7272727272727273,2,5,5,5,5,4,5,5,5,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,2,2,2,2,1,2,2,1,NA,1,NA,NA,0.07894736842105263,0,NA,NA,1,NA,4.555555555555555,1.5454545454545454,1.5454545454545454,4,4,5,5,5,5,5,5,5,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,NA,NA,0.07894736842105263,0,NA,NA,1,NA,4.777777777777778,1,1.7272727272727273,2,4,5,5,5,4,4,4,4,1,2,2,2,2,2,2,2,5,5,5,1,1,1,1,1,1,2,2,1,2,2,1,30,1,NA,NA,0.05263157894736842,0,90,NA,1,NA,4.111111111111111,1.3636363636363635,2.727272727272727,4,4,5,5,5,3,3,3,5,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,NA,NA,0.07894736842105263,0,NA,NA,1,NA,4.111111111111111,1,2
204372,84,Master/Diplom/Magister,7,1,5,2.6,3.6,3,NaN,200,NaN,2,4,5,3,5,4,2,2,4,3,2,2,2,2,2,3,3,1,2,2,1,4,3,3,3,3,4,4,2,4,4,2,NA,2,NA,0,0.05263157894736842,0,NA,NA,1,NA,3.4444444444444446,3.1818181818181817,2.1818181818181817,3,4,5,3,5,4,4,3,3,1,2,3,3,3,3,4,3,1,2,2,4,5,5,5,4,3,5,5,3,3,4,2,NA,2,NA,NA,0.07894736842105263,0,NA,NA,1,NA,3.7777777777777777,4.181818181818182,2.4545454545454546,3,4,5,1,5,3,4,4,2,4,1,3,3,3,4,4,NA,1,4,4,4,4,4,4,4,3,3,NA,2,5,5,3,NA,3,NA,NA,0.13157894736842105,0.09090909090909091,NA,NA,1,NA,3.4444444444444446,3.8,3.1,2,4,5,2,5,2,5,3,4,2,1,4,4,4,2,5,NA,1,3,4,4,4,3,4,4,2,4,4,2,4,5,4,NA,3,NA,NA,0.10526315789473684,0.09090909090909091,NA,NA,1,NA,3.5555555555555554,3.6363636363636362,3,3,5,5,3,5,3,1,2,3,5,5,4,4,4,NA,3,3,4,4,3,5,5,3,4,4,3,4,4,2,4,5,3,20,2,NA,NA,0.13157894736842105,0.09090909090909091,200,NA,1,NA,3.3333333333333335,3.909090909090909,3.9
201488,84,Master/Diplom/Magister,7,1,5,2.4,2.8,2.6,NaN,90,NaN,1,4,3,3,4,4,4,4,5,2,1,2,2,NA,NA,2,2,1,2,2,2,3,4,4,4,4,4,4,1,1,3,NA,30,NA,NA,0,0.13157894736842105,0.18181818181818182,NA,NA,1,NA,3.5555555555555554,3.090909090909091,1.7777777777777777,3,4,4,3,5,5,5,4,4,1,1,1,1,1,1,2,3,1,3,2,2,3,2,1,2,2,2,1,1,2,1,2,NA,3,NA,NA,0.07894736842105263,0,NA,NA,1,NA,4.111111111111111,1.7272727272727273,1.5454545454545454,2,4,4,4,3,4,4,3,5,1,1,2,2,2,2,2,2,1,2,2,1,1,3,3,3,3,3,3,2,3,3,1,30,2,NA,NA,0.05263157894736842,0,90,NA,1,NA,3.6666666666666665,2.5454545454545454,1.7272727272727273,3,3,3,3,2,NA,3,4,4,4,1,2,2,2,2,3,1,1,1,1,4,4,1,1,2,2,1,NA,1,1,1,NA,30,NA,30,NA,0.13157894736842105,0,NA,NA,1,NA,3.125,1.8,1.8181818181818181,3,4,3,3,2,3,4,NA,4,5,1,1,1,1,1,1,1,1,1,1,5,5,2,3,3,3,3,2,2,3,3,NA,30,NA,20,NA,0.10526315789473684,0,NA,NA,1,NA,3.25,3.090909090909091,1.3636363636363635
